YearsExperience,TechnicalSkills,CommunicationSkills,ProblemSolving,Leadership,PerformanceRating
8.466572533,6.18236291,1.1088554,3.121114056,9.399429268,5.655666833
1.966228861,1.119397339,3.003386653,2.428905281,5.12547266,2.728678159
9.815927672,6.228891461,3.273260428,1.224223332,9.772806748,6.063021928
6.998892956,9.239615216,7.863911953,1.185024158,2.12563505,5.482615867
8.718699438,9.290857375,6.230540331,9.025911055,9.344889669,8.522179574
2.373770864,1.013482374,4.377740782,1.278925792,2.162858742,2.241355711
3.306442532,6.961961785,2.29453977,1.846152456,4.065037543,3.694826817
6.487917375,4.704069991,5.783837105,8.04430441,3.382623702,5.680550517
1.861920016,2.061748689,1.895161724,3.848970784,1.264691808,2.186498604
5.499287625,2.05630873,3.821297841,8.054989803,1.4450112,4.17537904
5.758080621,5.144507606,8.173918716,1.021120817,6.503346219,5.320194796
8.212343642,6.530335775,1.525674195,9.150018075,4.927401722,6.069154682
8.934991478,9.842762572,3.362922743,4.841440104,4.394943727,6.275412125
1.424386905,5.236261671,9.00501326,8.344635904,8.435673326,6.489194213
6.030793843,6.924569371,9.412136722,8.296142904,8.565919291,7.845912426
1.253911893,8.135892152,4.061930579,4.062478117,4.740210889,4.450884726
7.111658719,3.673691179,3.60147407,8.746040614,1.875763772,5.001725671
4.392990029,7.281847549,6.75094954,7.251993821,8.781027366,6.891761661
1.069547342,4.71826123,7.544725125,1.967869799,2.473825675,3.554845834
6.971684287,8.179458851,7.107376587,2.038046787,7.421242306,6.343561764
8.347335628,5.464574964,9.219458774,1.304488492,8.018282606,6.470828093
9.205185071,7.648238787,9.95532024,8.945245552,1.897976508,7.530393231
2.611903279,9.395950987,3.17572126,4.362818524,5.248691579,4.959017126
1.443857486,2.029854094,3.22246063,8.439553141,8.079376164,4.643020303
7.261796024,6.617265613,6.745433701,8.609750054,8.314209196,7.509690917
5.637844255,8.107246342,3.829595885,8.006562052,3.500691137,5.816387934
3.315093403,1.792611753,7.746618445,4.96032738,1.220659707,3.807062138
5.758723521,4.839263713,7.213997329,3.920646049,1.423073365,4.631140795
9.221053646,9.288248389,7.693632508,7.39556935,8.458485867,8.411397952
9.69259045,3.526190811,4.900884421,7.885576662,7.850237648,6.771095998
6.649356958,4.054898575,1.828423567,9.303085894,1.121744424,4.591501884
5.382424725,5.95652361,1.632394944,8.532874653,9.550744712,6.210992529
1.103260357,3.029920387,5.438172025,5.154226303,2.781521691,3.501420153
9.438730301,3.160282968,3.191369687,9.268518644,7.544600765,6.520700473
2.182446702,5.990631011,4.707177964,3.976791137,9.501338838,5.27167713
1.661582331,1.374924257,1.929561358,6.982693767,6.815224781,3.752797299
2.825127155,9.716360935,5.676639835,7.400998683,8.473534997,6.818532321
6.299887085,9.67657636,2.281208021,5.956603614,5.682702083,5.979395433
2.834123349,5.016044998,2.95769683,8.823574994,7.473923247,5.421072684
5.116888717,6.494869833,6.981868924,9.346824123,9.258870631,7.439864446
1.678025914,5.133913339,4.205241558,4.280312114,6.980763674,4.45565132
5.421906457,7.506027605,2.99321289,9.872201336,5.619239964,6.28251765
3.132935285,9.054114439,5.160929265,8.770778052,2.50420569,5.724592546
7.39359988,2.627905796,9.386425909,8.575159736,4.101045769,6.416827418
1.234657976,6.757053669,5.46608375,3.519888595,9.554599762,5.30645675
4.186820225,3.316601695,3.530273592,2.186519446,6.672407358,3.978524463
7.391789249,6.064485317,9.584431384,1.455123366,5.710219549,6.041209773
5.575679995,3.649772222,2.671982388,3.153446825,4.807706363,3.971717559
4.557941764,3.183837754,3.78560457,2.434224591,5.0131683,3.794955396
5.222470927,2.881838046,3.334875186,2.278022085,9.963052254,4.7360517
9.206957848,2.641669853,8.248662347,6.372837088,5.397044473,6.373434322
9.258654576,1.290837256,5.03747487,1.763655688,3.998709088,4.269866296
7.638278441,4.597845351,1.254039078,4.384752076,9.436108743,5.462204738
1.021998415,5.871424208,3.401688849,4.291948698,7.790699406,4.475551915
6.341751803,9.047150035,5.149923169,8.802438308,7.979580286,7.46416872
3.125887216,7.977975897,9.876004663,3.359337561,2.536827164,5.3752065
9.414277852,2.42348892,6.043313731,9.258507193,4.361131676,6.300143874
9.65768472,8.816803958,5.673254858,9.063214491,2.831901766,7.208571959
8.349226131,9.812686082,3.08535253,2.384909565,8.207691217,6.367973105
6.556965124,4.794440186,1.441091051,6.496027241,5.136707927,4.885046306
1.346814342,2.66233235,4.298358644,3.23630947,6.99402887,3.707568735
1.489992794,8.43927909,4.503042031,2.658202016,9.870157775,5.392134741
5.929674678,9.974687019,5.693338671,3.675031444,2.601433986,5.57483316
7.661496403,3.654332929,7.007573051,2.231916586,8.135031944,5.738070183
7.77659785,1.878205968,1.234355564,4.871912187,6.101695738,4.372553461
3.609175076,5.449176579,8.820092699,3.616545164,8.414667692,5.981931442
4.196677256,3.18778146,6.011776643,3.814902648,9.852814488,5.412790499
9.369358765,4.69789054,4.745007437,2.225938857,9.613908153,6.13042075
5.978798062,1.513645817,1.386885102,8.533028519,6.187328961,4.719937292
6.644575039,6.346827066,1.75935843,2.09468521,5.05350457,4.379790063
3.497740159,7.934363343,7.121344387,1.603396935,6.051751037,5.241719172
8.981839107,2.461471174,8.836738444,2.142244639,6.109005682,5.706259809
7.139151004,6.846415131,9.254114962,7.626183572,6.029330681,7.37903907
4.483551361,5.61918041,9.894290727,2.310215582,9.168555315,6.295158679
2.038554325,2.263239324,4.651442138,9.051528994,9.456652743,5.492283505
9.266223675,2.07552491,4.423957553,9.699440447,1.133538404,5.319736998
1.873254986,6.05327928,3.049985625,1.505166426,9.29100936,4.354539135
2.662378962,2.277173911,1.25078713,9.588000319,3.150111297,3.785690324
7.832239391,5.122301124,8.249379096,4.442873461,7.820925937,6.693543802
4.333738491,9.522558749,7.598975565,6.509176655,9.362303786,7.465350649
1.661903506,6.456481852,6.579007715,7.129706636,3.079869101,4.981393762
9.803126209,1.781693936,4.001547194,2.599741371,4.324771393,4.502176021
9.456504328,3.551570961,5.549103408,9.381941128,6.597743274,6.90737262
5.667352295,1.527811334,2.325433211,4.724920513,2.845980638,3.418299598
4.609273872,3.552254758,2.503147993,1.952147775,2.199473777,2.963259635
3.91398726,4.344879,7.651843102,7.921812242,3.262327587,5.418969838
3.777801636,8.339389975,2.252310052,9.49015811,2.892626554,5.350457265
7.264469501,4.250125016,8.534482944,7.584605883,7.928243873,7.112385443
3.550963366,8.836961777,3.641302744,6.238719941,1.596738619,4.772937289
6.769702457,6.714439412,7.236738114,6.676976101,9.312184179,7.342008052
5.222599964,6.108754225,8.573205875,4.505949659,8.716479036,6.625397752
1.656101692,7.240434547,8.844381293,2.309972774,6.371211328,5.284420327
2.931989998,9.119624946,4.764839131,9.815368636,7.603286398,6.847021822
3.52013999,9.0673744,8.195976406,9.009229003,2.535781168,6.465700193
1.791163339,1.190251366,3.788449407,4.585515678,8.495579268,3.970191812
5.529309013,7.476199162,4.624033773,4.182507751,7.799997876,5.922409515
7.561562802,8.231779684,3.390520603,3.395935134,9.607775851,6.437514815
6.658137158,6.541546698,4.073506414,6.304980609,5.568494476,5.829333071
7.279681723,3.412601947,6.806530234,4.912951108,2.070508666,4.896454736
5.341451735,1.603697061,7.681642601,7.400429505,5.340261368,5.473496454
1.737521458,3.509226246,9.461301427,7.823632708,4.248739824,5.356084333
9.263429354,6.187595309,2.005671804,2.810606379,9.490049945,5.951470558
8.046086437,5.903620852,5.543821098,6.068768698,3.839019637,5.880263344
2.201698478,4.469771125,4.906294559,3.021094384,3.569947059,3.633761121
8.888270481,5.167558517,2.407775064,9.485639815,9.507021696,7.091253115
3.925722443,1.06029981,6.201718249,8.229419323,5.774551543,5.038342274
5.375588877,9.657203481,4.131938348,1.751410769,6.85048248,5.553324791
3.215609435,3.25902239,2.625361608,9.027361017,4.666698297,4.558810549
2.040537615,6.788615262,5.967144426,6.136217906,2.44969057,4.676441156
2.179365337,4.669777962,7.271217773,6.185857222,3.987061401,4.858655939
7.885281962,6.806258561,2.310798659,4.359324851,6.177982103,5.507929227
7.401337412,2.278049671,1.522710511,4.229483421,6.215198172,4.329355837
7.421208773,8.268904562,1.098585238,5.672978435,8.012390131,6.094813428
5.346092987,2.439427893,6.294151075,7.799364226,6.880243056,5.751855847
5.640581064,2.661308371,2.02771357,5.6643431,6.897185796,4.57822638
4.904180237,7.652222204,6.529262158,9.385486453,4.374108525,6.569051915
4.133429625,2.282478485,8.308903274,7.59792434,5.556936007,5.575934346
2.200626811,3.395704897,2.977636117,5.221962174,3.942815923,3.547749185
3.095237863,5.134930443,6.389785796,7.914436186,9.425495664,6.39197719
4.743143428,7.480371351,5.606305252,4.932060434,6.5235262,5.857081333
7.75306273,2.179574236,9.929567074,6.129597728,5.830702774,6.364500908
6.439041196,3.198904501,4.558358569,2.802704347,5.619381609,4.523678045
4.356539164,3.221861837,7.103965537,1.573613609,1.30962604,3.513121237
4.178845807,9.028275547,1.538151003,1.276608007,7.785200202,4.761416113
7.72777028,4.695321859,4.581883945,5.909292448,4.402383218,5.46333035
5.650287638,3.795344706,5.48096719,2.308696617,2.71315202,3.989689634
3.114834732,3.014749628,3.896884712,3.536110568,5.419844902,3.796484908
4.639380022,3.622021826,8.407481584,6.057011518,2.807707254,5.106720441
6.978309121,5.058346658,5.419325916,5.783048255,5.342232007,5.716252391
1.148629826,9.328250259,3.758703634,6.770315325,8.119235621,5.825026933
3.199906899,2.967114684,8.737300275,7.886205935,8.182215091,6.194548577
6.925951998,1.972176719,8.592469805,5.689528212,6.832031163,6.00243158
9.845264003,4.489469049,2.118166686,7.613008119,3.456391653,5.504459902
6.450505595,1.467067732,4.751298567,7.474225418,3.905798198,4.809779102
4.206482145,6.99764595,9.202478083,7.371336576,7.101584756,6.975905502
4.849729729,8.918376615,8.29775967,8.312752418,5.904043364,7.256532359
2.636794308,9.116379986,5.869162798,7.192376584,5.501355131,6.063213762
1.584788276,2.393011729,9.969646914,1.737387395,9.626383088,5.06224348
3.014538873,6.697832755,3.990375754,1.173112776,5.62416592,4.100005215
2.41287055,8.856798476,4.375405847,5.339171113,3.426608376,4.882170872
1.460552591,6.263230934,2.141276783,1.293077885,7.868698019,3.805367243
5.242155564,9.312013992,1.887750669,5.890182414,5.829861551,5.632392838
1.285839723,1.846654005,3.659887188,8.541680105,3.477655628,3.76234333
9.573870947,3.357679763,1.246966125,2.95529861,7.870607615,5.000884612
8.300879682,1.558292567,4.987348116,7.738594814,3.715528032,5.260128642
1.028966816,5.854569773,4.256781839,5.89992938,4.409060487,4.289861659
8.194898272,8.260483547,9.660642957,9.17361407,3.726258285,7.803179426
2.573030692,9.670357555,9.228970327,4.009299641,3.613969207,5.819125484
1.515391882,1.34021602,7.61657219,2.432902486,3.75700885,3.332418285
1.327459453,7.998549461,2.21807682,5.692243495,4.72346411,4.391958668
8.084390868,7.130668162,4.097812229,9.184461142,7.17638107,7.134742694
1.254971349,9.927732343,6.152590088,5.849896294,6.703402493,5.977718513
8.677061809,5.64641089,6.375002807,7.284607103,9.309561566,7.458528835
6.023455309,9.692548239,7.971944543,3.910474263,6.83959409,6.887603289
5.136080157,1.292874702,1.912225792,8.357669581,9.456313134,5.231032673
4.317563702,7.503692535,5.604274264,6.712248213,2.302927579,5.288141259
7.131659487,3.488003997,6.033678661,4.257151536,2.340248393,4.650148415
2.359855497,5.01614759,2.463217983,1.011323372,6.91999773,3.554108434
5.464513978,5.284288568,6.64378456,8.741128749,9.434718664,7.113686904
9.070225233,6.866638956,5.178331364,7.461885301,7.756580516,7.266732274
9.767020701,3.579977619,6.611832269,6.470757251,5.87593679,6.461104926
3.62754546,3.225983927,5.578618321,5.724051,1.294648488,3.890169439
2.698714843,3.196525287,7.705351081,7.438601836,1.342959128,4.476430435
2.601778565,2.604686276,2.670501681,1.157942513,1.134018805,2.033785568
2.286111089,5.40844104,1.16587431,2.630830185,1.051682402,2.508587805
6.136378704,8.909896034,2.717431879,3.367817868,4.446286925,5.115562282
9.507282455,4.681047254,5.402868141,5.151690203,6.344581667,6.217493944
7.908631633,4.339456593,1.068225952,6.597802999,4.664752453,4.915773926
2.558920073,2.036892914,6.582603627,2.663820148,2.452349826,3.258917317
3.169950808,2.489759115,8.088281588,1.653467744,3.000989581,3.680489767
1.488041175,3.866737665,1.922817741,7.956567238,2.680642917,3.582961347
8.545116143,9.61263736,2.78816105,5.096805658,2.161086876,5.640761417
7.643830039,5.023468596,2.059442052,5.088702343,8.782731614,5.719634929
6.289715138,3.847409449,7.015545156,4.240592889,2.931318504,4.864916227
8.231900527,8.901028912,8.04931354,3.80823409,7.304264873,7.258948389
9.575047232,3.555640118,8.370920334,3.494458307,5.860472846,6.171307767
4.489382199,3.701691183,4.52049628,3.366422212,9.527567829,5.12111194
2.244372184,9.535985599,5.636431231,3.632764563,1.45506955,4.500924626
2.910172424,3.983245379,3.656323014,4.161202342,7.543542823,4.450897196
7.82589536,9.068791445,4.677169295,2.314925781,5.723797533,5.922115883
8.844880119,8.863403753,9.819582515,7.665631299,1.14698708,7.268096953
3.770806862,2.32086175,7.861000281,3.952757198,3.863367383,4.353758695
5.058602059,2.131585474,3.440093639,8.879143622,5.223755399,4.946636039
4.423097329,7.749857587,4.026507396,8.874369192,5.02404226,6.019574753
3.457337492,9.554012687,7.689734878,7.779681734,3.117979166,6.319749191
3.269903256,7.357929235,1.731144683,9.781578713,6.72486803,5.773084783
1.093687716,2.914462807,6.238582066,6.396694658,4.566124933,4.241910436
6.261895126,9.768900472,4.066881255,5.234317062,5.856283545,6.237655492
4.622317094,2.504457697,9.505346453,2.80259376,2.699163244,4.426775649
8.632862396,2.089285278,5.718780055,4.802943501,2.128228155,4.674419877
2.72964073,7.262608519,4.480746337,6.057755624,2.121475904,4.530445423
7.131247435,3.846833559,3.766642641,7.796549134,5.177624254,5.543779405
9.146872294,7.22801366,2.41458452,8.116424402,6.985714479,6.778321871
4.649006083,2.812824648,7.525004831,4.671368439,4.159811509,4.763603102
6.178847603,2.024195659,9.414180899,6.26222135,1.211304066,5.018149915
3.39797052,5.244493549,5.848743778,7.296890135,2.829119549,4.923443506
9.859449798,8.117225891,5.868326993,6.861422525,8.393586111,7.820002264
1.745505687,4.721367105,1.885957463,8.949028513,5.893922057,4.639156165
7.367768142,1.830459178,7.824123179,7.892423744,1.009257218,5.184806292
2.041545047,4.389700078,3.111412061,5.169049946,3.850957487,3.712532924
5.784153041,6.0918917,2.64147204,5.758683954,4.617382391,4.978716625
8.652401822,3.562976638,6.472009023,8.870203682,9.63435435,7.438389103
2.635798334,7.031256797,2.925500894,6.021858632,8.297975416,5.382478015
2.354141621,4.264250811,5.074123463,5.573585051,5.593648113,4.571949811
6.638905508,4.355151468,5.584931748,5.821043946,3.476365615,5.175279657
4.30422375,8.065805491,7.154726837,6.187025795,3.024826782,5.747321731
6.411817765,9.529921557,4.677356521,1.710086033,1.947510039,4.855338383
4.693028455,8.040898252,7.526234028,6.445125178,1.218480352,5.584753253
9.24208424,9.661239035,2.405090908,4.480632618,4.994379613,6.156685283
3.626632906,4.848214391,7.515376458,2.659723069,3.498945009,4.429778366
1.265603825,5.244972926,2.355721226,9.193347234,3.872874599,4.386503962
